"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 1 Social Modifier","Interval Channel 2 Name","Interval Channel 2 Value"
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 15:08:00","2018-03-22","15:08:00","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","12","","","","Inactive","Resting/sleeping"
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 15:09:00","2018-03-22","15:09:00","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","13","","","","Inactive","Resting/sleeping"
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 15:10:00","2018-03-22","15:10:00","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","14","Active","Moving on ground","","",""
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 15:11:00","2018-03-22","15:11:00","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","15","","","","Inactive","Resting/sleeping"
"125","NA Porcupine","Katie Glatfelter","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-03-28 14:57:21","2018-03-28 15:12:21","2018-03-28 14:58:22","2018-03-28","14:58:22","2018","3","14","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","1","","","","Inactive","Resting/sleeping"
"125","NA Porcupine","Katie Glatfelter","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-03-28 14:57:21","2018-03-28 15:12:21","2018-03-28 14:59:22","2018-03-28","14:59:22","2018","3","14","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","2","","","","Inactive","Resting/sleeping"
"125","NA Porcupine","Katie Glatfelter","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-03-28 14:57:21","2018-03-28 15:12:21","2018-03-28 15:00:22","2018-03-28","15:00:22","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","3","","","","Inactive","Resting/sleeping"
"125","NA Porcupine","Katie Glatfelter","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-03-28 14:57:21","2018-03-28 15:12:21","2018-03-28 15:01:22","2018-03-28","15:01:22","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","4","","","","Inactive","Resting/sleeping"
"125","NA Porcupine","Katie Glatfelter","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-03-28 14:57:21","2018-03-28 15:12:21","2018-03-28 15:02:22","2018-03-28","15:02:22","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","5","","","","Inactive","Resting/sleeping"
"125","NA Porcupine","Katie Glatfelter","fec64e9b-ff9b-4fe1-8710-c140662355ed","2018-03-28 14:57:21","2018-03-28 15:12:21","2018-03-28 15:03:22","2018-03-28","15:03:22","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","6","","","","Inactive","Resting/sleeping"
