"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 1 Social Modifier","Interval Channel 2 Name","Interval Channel 2 Value"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:50:25","2017-11-14","14:50:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Calie","","7","Active","Locomotion","","",""
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:50:25","2017-11-14","14:50:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Crala","","7","","","","At rest","Observing humans at glass"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:51:25","2017-11-14","14:51:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Calie","","8","","","","At rest","Observing humans at glass"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:51:25","2017-11-14","14:51:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Crala","","8","","","","At rest","Observing humans at glass"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:52:25","2017-11-14","14:52:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Calie","","9","","","","At rest","Observing humans at glass"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:52:25","2017-11-14","14:52:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Crala","","9","Active","Locomotion","","",""
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:53:25","2017-11-14","14:53:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Calie","","10","","","","At rest","Observing humans at glass"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:53:25","2017-11-14","14:53:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Crala","","10","","","","At rest","Out of view"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:54:25","2017-11-14","14:54:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Calie","","11","","","","At rest","Observing humans at glass"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:54:25","2017-11-14","14:54:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Crala","","11","","","","At rest","Out of view"
