"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","All Occurrence Behavior Modifier 1","All Occurrence Behavior Modifier 2","All Occurrence Behavior Modifier 3","All Occurrence Behavior Social Modifier","All Occurrence Comment","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:08:42","2020-03-17","15:08:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","2","","","Inactive","Laying down"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:08:42","2020-03-17","15:08:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","2","","","Inactive","Laying down"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:09:42","2020-03-17","15:09:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","3","","","Inactive","Standing"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:09:42","2020-03-17","15:09:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","3","","","Inactive","Out of view"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:10:42","2020-03-17","15:10:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","4","","","Inactive","Laying down"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:10:42","2020-03-17","15:10:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","4","","","Inactive","Out of view"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:11:42","2020-03-17","15:11:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","5","","","Inactive","Standing"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:11:42","2020-03-17","15:11:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","5","","","Inactive","Out of view"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:12:42","2020-03-17","15:12:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","6","","","Inactive","Laying down"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:12:42","2020-03-17","15:12:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","6","","","Inactive","Out of view"
