"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","All Occurrence Behavior Social Modifier","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 2 Social Modifier"
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:32:24","2019-07-09","15:32:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Isabel","","","6","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:33:24","2019-07-09","15:33:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Brazil","","","7","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:33:24","2019-07-09","15:33:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Damian","","","7","","","Active","Other",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:33:24","2019-07-09","15:33:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Filbert","","","7","","","Active","Other",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:33:24","2019-07-09","15:33:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Isabel","","","7","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:34:24","2019-07-09","15:34:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Brazil","","","8","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:34:24","2019-07-09","15:34:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Damian","","","8","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:34:24","2019-07-09","15:34:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Filbert","","","8","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:34:24","2019-07-09","15:34:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Isabel","","","8","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:35:24","2019-07-09","15:35:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Brazil","","","9","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:35:24","2019-07-09","15:35:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Damian","","","9","Inactive","Sitting","","",""
