STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT05,WT06,WT07,WT08,WT09,WT11
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/15/18,72,86,60,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/16/18,73,93,58,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/17/18,75,87,65,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/18/18,69,83,62,,1,,1,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/19/18,70,81,57,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/20/18,67,80,55,,1,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/21/18,66,78,54,,1,,1,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/22/18,67,81,61,,1,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/23/18,74,93,60,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/24/18,76,92,57,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/25/18,76,91,58,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/26/18,78,98,59,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/27/18,81,97,65,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/28/18,76,84,62,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/29/18,71,89,61,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/30/18,76,98,54,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/31/18,78,91,63,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/1/18,78,88,63,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/2/18,75,86,67,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/3/18,71,82,61,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/4/18,69,88,53,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/5/18,70,80,60,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/6/18,65,77,59,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/7/18,67,81,54,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/8/18,67,83,58,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/9/18,71,89,59,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/10/18,72,95,50,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/11/18,74,97,52,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/12/18,75,97,50,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/13/18,74,99,49,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/14/18,75,97,50,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/15/18,71,95,49,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/16/18,78,97,56,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/17/18,78,98,55,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/18/18,77,97,57,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/19/18,77,98,56,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/20/18,74,85,63,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/21/18,67,77,57,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/22/18,66,90,46,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/23/18,70,93,44,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/24/18,69,83,50,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/25/18,63,71,48,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/26/18,56,76,40,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/27/18,61,83,40,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/28/18,56,57,44,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/29/18,55,88,44,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",9/30/18,60,72,46,,,,,,,,,,
