"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value","Interval Channel 4 Name","Interval Channel 4 Value","Interval Channel 4 Social Modifier","Interval Channel 5 Name","Interval Channel 5 Value","Interval Channel 6 Name","Interval Channel 6 Value","Interval Channel 7 Name","Interval Channel 7 Value","Interval Channel 8 Name","Interval Channel 8 Value","Interval Channel 9 Name","Interval Channel 9 Value","Interval Channel 10 Name","Interval Channel 10 Value"
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:23:09","2019-03-11","15:23:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","6","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:24:09","2019-03-11","15:24:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","7","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:25:09","2019-03-11","15:25:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","8","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:26:09","2019-03-11","15:26:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","9","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:27:09","2019-03-11","15:27:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","10","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:28:09","2019-03-11","15:28:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","11","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:29:09","2019-03-11","15:29:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","12","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:30:09","2019-03-11","15:30:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","13","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:31:09","2019-03-11","15:31:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","14","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:32:09","2019-03-11","15:32:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","15","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
